age,taille,poids,revenu_estime_mois,risque_personnel,loyer_mensuel,montant_pret,sexe_F,sexe_H,sport_licence_non,sport_licence_oui,niveau_etude_aucun,niveau_etude_bac,niveau_etude_bac+2,niveau_etude_doctorat,niveau_etude_master,region_Auvergne-Rhône-Alpes,region_Bretagne,region_Corse,region_Hauts-de-France,region_Normandie,region_Occitanie,region_Provence-Alpes-Côte d’Azur,region_Île-de-France,smoker_non,smoker_oui,nationalité_francaise_non,nationalité_francaise_oui,situation_familiale_célibataire,situation_familiale_divorcé,situation_familiale_marié,situation_familiale_veuf
71,160.3,45.5,3792,0.13,5000.0,17975.461375021725,False,True,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,True,True,False,False,False
18,178.0,77.6,3893,0.66,5175.89104031576,10437.682759868923,True,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,True,False,False,False
65,179.5,61.5,2577,0.58,5000.0,500.0,True,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False,False,False,False,True
61,175.2,58.5,1572,0.85,5000.0,4494.300952230585,False,True,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,True,False,True,False,False
24,169.1,68.1,3440,0.14,5175.89104031576,18070.091787237645,False,True,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,True,False,False,True,False
53,158.2,84.3,885,0.48,5000.0,12373.56023523041,True,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False
37,164.6,95.1,2050,0.5,5175.89104031576,500.0,False,True,False,True,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False
35,170.6,83.3,3911,0.67,5175.89104031576,500.0,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,True,False,False,True,False,False
24,169.4,58.2,3269,0.45,5175.89104031576,500.0,True,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,True,False,True,False,False,False
74,155.1,65.4,500,0.22,5175.89104031576,500.0,False,True,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False,True
53,181.7,56.7,2802,0.01,5000.0,21691.867312082977,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,True,False,True,False,False,True,False
58,181.7,59.0,832,0.51,5175.89104031576,23167.904430812967,True,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,True,False
22,170.3,84.1,900,0.14,5175.89104031576,500.0,False,True,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False
66,156.9,73.7,1672,0.12,5175.89104031576,500.0,False,True,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,True,False,True,False,False,False
33,184.1,68.2,923,0.57,5175.89104031576,500.0,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False,False,False,True
52,166.9,66.4,1959,0.5,5000.0,500.0,True,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False
30,184.7,82.7,2687,0.65,5000.0,500.0,True,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,True,True,False,False,False
30,153.3,66.0,1809,0.28,5000.0,500.0,True,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,True,False,False,False,False,True
20,161.2,37.6,4778,0.4,5175.89104031576,28396.908742389693,True,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False
19,169.3,79.9,2124,0.53,5000.0,500.0,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,True,True,False,True,False,False,False
49,160.0,72.3,3422,0.6,5175.89104031576,14326.37709078331,False,True,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False
47,188.7,73.5,3838,0.5,5000.0,500.0,True,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False
29,167.4,70.9,660,0.64,5175.89104031576,500.0,False,True,False,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,True,True,False,False,False
60,162.6,77.6,1788,0.56,5000.0,10540.674784050036,True,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,True,False,False
31,181.1,69.4,2600,0.98,5000.0,6156.501558240514,False,True,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,True,False,True,False,False
26,159.7,99.5,3008,0.05,5175.89104031576,500.0,False,True,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,True,False,True,False,False,False
