age,taille,poids,revenu_estime_mois,risque_personnel,loyer_mensuel,montant_pret
71,160.3,45.5,3792,0.13,5000.0,17975.461375021725
18,178.0,77.6,3893,0.66,5175.89104031576,10437.682759868923
65,179.5,61.5,2577,0.58,5000.0,500.0
61,175.2,58.5,1572,0.85,5000.0,4494.300952230585
24,169.1,68.1,3440,0.14,5175.89104031576,18070.091787237645
53,158.2,84.3,885,0.48,5000.0,12373.56023523041
37,164.6,95.1,2050,0.5,5175.89104031576,500.0
35,170.6,83.3,3911,0.67,5175.89104031576,500.0
24,169.4,58.2,3269,0.45,5175.89104031576,500.0
74,155.1,65.4,500,0.22,5175.89104031576,500.0
53,181.7,56.7,2802,0.01,5000.0,21691.867312082977
58,181.7,59.0,832,0.51,5175.89104031576,23167.904430812967
22,170.3,84.1,900,0.14,5175.89104031576,500.0
66,156.9,73.7,1672,0.12,5175.89104031576,500.0
33,184.1,68.2,923,0.57,5175.89104031576,500.0
52,166.9,66.4,1959,0.5,5000.0,500.0
30,184.7,82.7,2687,0.65,5000.0,500.0
30,153.3,66.0,1809,0.28,5000.0,500.0
20,161.2,37.6,4778,0.4,5175.89104031576,28396.908742389693
19,169.3,79.9,2124,0.53,5000.0,500.0
49,160.0,72.3,3422,0.6,5175.89104031576,14326.37709078331
47,188.7,73.5,3838,0.5,5000.0,500.0
29,167.4,70.9,660,0.64,5175.89104031576,500.0
60,162.6,77.6,1788,0.56,5000.0,10540.674784050036
31,181.1,69.4,2600,0.98,5000.0,6156.501558240514
26,159.7,99.5,3008,0.05,5175.89104031576,500.0
28,160.2,92.5,500,0.4,5000.0,500.0
21,168.4,71.1,3695,0.17,5000.0,22775.8955135935
70,172.9,70.9,3304,0.28,5000.0,8853.723228062805
42,185.9,57.8,897,0.05,5000.0,11778.343548052928
37,181.5,91.8,3072,0.56,5175.89104031576,21531.409941811824
30,163.1,84.3,1295,0.52,5175.89104031576,500.0
34,181.6,66.8,1566,0.28,5175.89104031576,1992.4825524566772
55,172.2,91.8,3929,0.4,5175.89104031576,15002.912094814255
32,143.5,82.1,3770,0.4,5175.89104031576,500.0
71,175.2,71.9,4747,0.12,5000.0,500.0
44,168.8,56.1,3214,0.82,5175.89104031576,10488.968596578909
70,169.1,75.5,4602,0.36,5175.89104031576,28770.26971420019
63,183.7,56.2,3127,0.17,5000.0,14801.426364952236
34,163.0,81.6,2741,0.6,5175.89104031576,500.0
47,167.4,59.2,3059,0.69,5175.89104031576,28698.200373046937
30,170.6,54.3,2285,0.07,5000.0,24341.03004691129
74,159.7,95.8,1823,0.26,5000.0,9958.305010076558
41,179.5,65.6,2321,0.53,5000.0,15785.751255071553
30,179.1,71.9,5481,0.08,5000.0,22240.901666635506
23,162.2,72.1,3627,0.77,5175.89104031576,500.0
74,171.8,61.8,1216,0.79,5000.0,11292.029477601953
22,190.0,63.9,1731,0.25,5000.0,4529.690297241665
18,168.4,73.9,4463,0.15,5175.89104031576,500.0
41,154.1,97.5,1993,0.47,5175.89104031576,1281.9229939424142
59,156.8,75.3,3359,0.58,5175.89104031576,500.0
52,163.6,39.3,2217,0.59,5000.0,1703.2091550614111
44,159.6,84.8,3603,0.34,5175.89104031576,18161.86602584039
64,170.7,71.5,3097,0.83,5000.0,500.0
29,178.3,77.1,3152,0.88,5175.89104031576,2426.265552876417
59,172.1,66.4,1484,0.25,5000.0,17717.330429437272
74,151.8,51.9,2986,0.74,5000.0,11837.808210233152
